M0,H,T,Loss
Mean,0,0,3.6120741171753067e-06
Mean,0,1,2.88039681210946e-06
Mean,0,2,2.0233009323063278e-05
Mean,0,3,2.6498158536806783e-05
Mean,0,4,5.736239888769791e-06
Mean,0,5,2.3547070859929744e-05
Mean,0,6,2.689431580671361e-06
Mean,0,7,7.074945635505299e-07
Mean,0,8,9.511427279810557e-05
Mean,0,9,4.243382090921078e-05
Mean,0,10,2.8482160051603114e-05
Mean,0,11,3.117095344438002e-06
Mean,0,12,3.440381161434941e-06
Mean,0,13,2.135873501741085e-07
Mean,0,14,9.101713540259849e-06
Mean,0,15,2.2887984266322244e-05
Mean,0,16,1.3756991824141032e-07
Mean,0,17,1.0407648890910622e-05
Mean,0,18,6.363269573686362e-08
Mean,0,19,1.66108360890935e-06
Mean,0,20,2.3629983463045628e-06
Mean,0,21,4.400657141713488e-07
Mean,0,22,8.470446433477842e-07
Mean,0,23,9.70099453970687e-06
Mean,1,0,2.88039681210946e-06
Mean,1,1,2.0233009323063278e-05
Mean,1,2,2.6498158536806783e-05
Mean,1,3,5.736239888769791e-06
Mean,1,4,2.3547070859929744e-05
Mean,1,5,2.689431580671361e-06
Mean,1,6,7.074945635505299e-07
Mean,1,7,9.511427279810557e-05
Mean,1,8,4.243382090921078e-05
Mean,1,9,2.8482160051603114e-05
Mean,1,10,3.117095344438002e-06
Mean,1,11,3.440381161434941e-06
Mean,1,12,2.135873501741085e-07
Mean,1,13,9.101713540259849e-06
Mean,1,14,2.2887984266322244e-05
Mean,1,15,1.3756991824141032e-07
Mean,1,16,1.0407648890910622e-05
Mean,1,17,6.363269573686362e-08
Mean,1,18,1.66108360890935e-06
Mean,1,19,2.3629983463045628e-06
Mean,1,20,4.400657141713488e-07
Mean,1,21,8.470446433477842e-07
Mean,1,22,9.70099453970687e-06
Mean,1,23,1.8337928587583821e-06
Mean,2,0,2.0233009323063278e-05
Mean,2,1,2.6498158536806783e-05
Mean,2,2,5.736239888769791e-06
Mean,2,3,2.3547070859929744e-05
Mean,2,4,2.689431580671361e-06
Mean,2,5,7.074945635505299e-07
Mean,2,6,9.511427279810557e-05
Mean,2,7,4.243382090921078e-05
Mean,2,8,2.8482160051603114e-05
Mean,2,9,3.117095344438002e-06
Mean,2,10,3.440381161434941e-06
Mean,2,11,2.135873501741085e-07
Mean,2,12,9.101713540259849e-06
Mean,2,13,2.2887984266322244e-05
Mean,2,14,1.3756991824141032e-07
Mean,2,15,1.0407648890910622e-05
Mean,2,16,6.363269573686362e-08
Mean,2,17,1.66108360890935e-06
Mean,2,18,2.3629983463045628e-06
Mean,2,19,4.400657141713488e-07
Mean,2,20,8.470446433477842e-07
Mean,2,21,9.70099453970687e-06
Mean,2,22,1.8337928587583821e-06
Mean,2,23,4.2399616469015176e-06
Mean,3,0,2.6498158536806783e-05
Mean,3,1,5.736239888769791e-06
Mean,3,2,2.3547070859929744e-05
Mean,3,3,2.689431580671361e-06
Mean,3,4,7.074945635505299e-07
Mean,3,5,9.511427279810557e-05
Mean,3,6,4.243382090921078e-05
Mean,3,7,2.8482160051603114e-05
Mean,3,8,3.117095344438002e-06
Mean,3,9,3.440381161434941e-06
Mean,3,10,2.135873501741085e-07
Mean,3,11,9.101713540259849e-06
Mean,3,12,2.2887984266322244e-05
Mean,3,13,1.3756991824141032e-07
Mean,3,14,1.0407648890910622e-05
Mean,3,15,6.363269573686362e-08
Mean,3,16,1.66108360890935e-06
Mean,3,17,2.3629983463045628e-06
Mean,3,18,4.400657141713488e-07
