,Mean,DFM [A],DFM [B],singleESN [A],singleESN [B],multiESN [A],multiESN [B]
0,-0.0019005457419318554,-0.004225026234191299,-0.010062292558545799,0.0002732967200724766,0.0013478353159171383,0.003689898277275526,-0.0033439645756629588
1,0.0016971731827098435,0.0014048326959900997,-0.004403319638908601,0.004908184043226336,0.005240662065840763,0.006979093711075478,0.0003575937082443909
2,0.004498111750842044,0.0036038235105102,-0.0010662000841859,0.0029338115339632683,0.0037299798165548624,0.0007261150083422287,0.0010335780101177671
3,0.005147636208669644,0.0054933154956052,0.0018252764325994001,0.0054907060210990745,0.004285636495890999,0.004207705688745494,0.0032326566313310755
4,-0.002395044861535957,-0.0007900846051971007,-0.002554035318942701,0.0002405119648386314,0.00026011105437113644,-0.0013522463558250982,-0.0020892595028998593
5,0.0048525324171951436,0.0082244501540392,0.0069595114041028,0.007298129111777721,0.005904425416255091,0.003254474681850165,0.0035305251638714837
6,-0.001639948651839856,-0.0024746842259403996,-0.0023361546737283995,-0.0002259002894145802,-0.0005752728030436636,0.00020113439100696677,-0.002194009020617756
7,-0.0008411269604230564,0.0007305285147914996,0.00039556451291550016,0.0007962424209821241,0.0005295929888684435,-0.00017210727299413284,-0.0007431820331653266
8,0.009752654653893245,0.0122222481406709,0.0123462546382177,0.013375174257482636,0.012622414459493208,0.0109411662027581,0.009357092738593385
9,-0.006514124723185056,-0.002798726906645399,-0.0028476802469225,-0.0022266498663600608,0.00011406008718905895,-0.0013307822442512225,-0.002332171285571191
10,-0.005336868000204157,-0.0005988737652181005,-0.0013728467921859007,-0.0017575318961308845,-0.0024992383698694935,-0.0032241283932944505,-0.0040487711325378345
11,0.0017655297631130442,0.005514534834541401,0.0034300395156016007,0.0012525678582728716,0.0022805241497200375,0.0029654019702234115,0.00188646124072042
12,-0.0018548264504893554,-0.0011614863374240988,-0.0013075430597446992,0.0013004904893602915,-0.00018910289484562644,-0.0005047932179581879,-0.0012235173677527106
13,0.0004621551148414442,0.0002623915589159004,-0.0004609957556088,0.0036410256524526596,0.0013083609178782688,0.0006107306526152512,-0.0023752067613626252
14,0.003016904628963244,0.0047307339871246,0.0033475137239929,0.00654865153981017,0.003138111506098044,0.002504692773778108,0.0013207566459911275
15,0.0047841388218071434,0.0043406296649441,0.002337896132266,0.00846235882365799,0.006661396704499717,0.0030304957598370117,0.0029446749932352475
16,0.00037090419011034416,0.0005670937410124999,-0.0007326516723860999,0.0048950639186619875,0.0033906652048431097,8.74543383526669e-05,0.00021571227096963894
17,0.0032260887915416436,0.003024699611371,0.0003322224844665997,0.006357258049580105,0.003067954991549236,0.004035948241308212,0.002383548347259267
18,0.00025225521944424387,2.4307174621899727e-05,0.0005313351287924003,0.001136934904548941,-0.0004027019363793986,0.0005971825543376035,0.0024515533579885394
19,0.0012888303258805443,0.0023759480973166,0.0017232250625725002,0.0008211712226801008,-0.0002907322982698751,0.0005719514943817268,0.0025477337997892894
20,0.0015372047184108442,0.0029208435108130006,0.0042846365758919,0.0038421803330135514,0.0016847799312020668,0.0011292893163889388,0.0039517942556929215
21,0.0006633744901421434,0.0026985480318906995,0.0038351814224290995,0.0023641822701446274,0.00042006635534667935,-0.003072347259326292,4.3503221326584955e-05
22,-0.0009203502829617559,0.0011632761574534994,0.0012377080506254003,0.0001283110409358414,1.3005448555310044e-05,-0.0018453944907969224,-0.0014371375200552651
23,-0.0031146419601146566,-0.0006985650906810997,-0.0009604523028410011,-0.0015487604255090904,-0.0028883102112443916,-0.0065017670747719285,-0.003688292424426228
24,-0.0013541760811498563,0.0014752099718003007,0.001496796871548499,0.0002612462401395477,-0.0004889871722591121,-0.0014583721164543057,-0.00020904707970143422
25,-0.0020591167152207565,-0.0023164541895336005,-0.0007215323132101006,-0.004076800377733437,-0.0043612478402888085,-0.0036637106449292087,-0.001394527131676206
26,0.0014374652465203438,0.0025823163644154,0.0023047498346316,-0.002480740996240841,-0.0013681734571974733,0.0008864524554511692,0.0025502499163422383
27,0.004016481670030844,0.0053863595408915,0.0044828267617314,0.0006840393555851811,0.0009267100182597967,0.0028350152440170416,0.002541474659431368
28,0.0002853079754732441,-0.0031119716471668998,-0.0060994423683045,-0.005499957057195435,-0.006184565899731406,-0.0034957327440119416,-0.003705891582214356
29,-0.0016525587177948558,-0.0005294026096673999,-0.0014864281888728,-0.003403306559793301,-0.003946658636955007,-0.0012570325878401784,-0.0017648809512957175
30,-0.0005861852037451565,0.00013743015794840004,-0.0012457923282563005,-0.0022036028020403584,-0.002766631867095807,-0.003495065427609456,-0.0012227082251508418
31,0.0015654062631547437,0.0020484219064944003,-0.0005525752637882998,0.0006409954065828855,-0.0015990565347133198,-0.0005050293045275531,-0.0008140252230195905
