,Mean,AR(1),DFM [A],DFM [B],singleESN [A] [RW],singleESN [B] [RW],multiESN [A] [RW],multiESN [B] [RW]
0,-0.0019005457419318554,0.00025811243305071466,-0.003972516114205899,0.0016928089840651007,4.878620094063771e-05,0.002196154707243037,0.0034315291289019056,-0.00297876071364811
1,0.0016662332316486634,0.0025773882394855953,0.0028788230128263,0.0042748634401064,0.0044212912840122685,0.005221461425648368,0.005416896283560351,0.0007935277763608589
2,0.004477691031332139,0.003784238512183384,0.0037201358564619997,-0.00019882170517179993,0.003362432195974767,0.0033987903644894677,0.00033151775568950395,0.0013426656632064332
3,0.005139515479265084,0.0033724001656292597,0.0056590150773096,0.0020454552461029,0.005455705507142994,0.003540887888633673,0.004253886339696001,0.0032220785946018987
4,-0.0022867631197389156,-0.004349422425384451,-0.0006703612140269016,-0.0031899504520800006,-0.0010890747463049412,-0.00018265340469802646,-0.0017071072717401072,-0.0007722306609809944
5,0.005112292727960934,0.00601519519775552,0.0082234262999478,0.003139966904498,0.007032153844254549,0.00418317821790111,0.0023996985562056705,0.00011950623424163858
6,-0.0014526208157434268,-0.003585726644777248,-0.0010393443840677995,-0.0033594257471332,-0.0017458052311314816,-0.001131232394374038,-0.0007534443762669358,-0.003642906534554657
7,-0.0006214729431738807,9.111865637068117e-06,0.002460917243835999,-0.0003730508477196,-0.000385327615247311,0.0009420305896569057,0.0009570074323560713,-0.0010824695100872441
8,0.010013296884808266,0.010198575522165916,0.0136741542789592,0.0100228551254175,0.011473320772341079,0.010949128125031002,0.00977796497990794,0.00884820372818496
9,-0.006428570262816476,-0.010616216835504195,-0.0034912683130380994,-0.004156130123922599,-0.0044206335201161,-0.0011076995212682787,-0.0017527814219102343,-0.0018186799946700704
10,-0.00522887378063722,-0.00279303907080102,-0.0019819202744806013,-0.004871628435728301,-0.004170231429013022,-0.004312852160260833,-0.004386371006932056,-0.00293496628352655
11,0.0018934070371354715,0.003873891437724788,0.0022997580606843003,0.0027138170198612007,0.0008887953841026624,-0.00033747710041210494,0.0010727928237625342,0.002022604990698464
12,-0.001793936785515855,-0.0024538126212036403,-0.0042280765873313995,-0.003480109336711199,0.00013114290235297955,-0.001978784714263197,-0.0020023080320815036,0.0014399613372930546
13,0.0005961338955710015,0.0012753394015636082,-0.0023369328403434995,-0.0011318344662204,-0.00027242373374405677,-0.00019909012382062635,-0.0011447082563836673,0.00042696093496955023
14,0.003150644793731367,0.0029368876552503544,0.0019301336905614996,0.0017103494416462,0.0036661464785777156,0.0010750335133417727,0.001382749168105313,0.003168002114374914
15,0.004900473207477496,0.0035828411084224527,0.00034166779822380013,0.0001902825615768,0.00888055493536996,0.005469241065464845,0.0016459654440579689,0.00459074451337693
16,0.0003503315280045183,-0.001577003628823171,-0.0019226562900092996,-0.0022570898044054996,-0.005019379795666445,-0.0014898571850744434,-0.002551095597610557,0.000333831153720765
17,0.003162540612888826,0.002959704731112614,0.0003600391321175998,0.0008179208486188997,0.006297035151022994,0.002666332051612173,0.0023847543361823586,0.0027891830466815746
18,7.006296625273242e-05,-0.0011293730177581998,-0.0024465805613147,-0.0030102186203257,-0.0013787190367263473,-0.0015673870401278394,0.0005278162476094464,0.0018305097125688686
19,0.0011085109881079271,0.0010189422952539152,0.0004481191262214008,-0.0015917540466319994,-0.0016763571532923465,-0.001413330456562226,-0.0003323235103996182,0.0018959528964545575
20,0.0012837775959591352,0.0008958384634162693,0.001893185165139,0.0027001897812833006,0.002938720196244843,0.00012843417730830538,0.0009241393892246794,0.0033623512808994786
21,0.0004232147573797959,-6.157767728833929e-05,0.002880781506738899,0.0026960885006333994,-0.0031140869180566293,-0.0014949536181613375,-0.0020644400947909046,0.0006094597699344102
22,-0.0011309256622062912,-0.001341874015218343,0.0013632156873571999,0.0011449052765869008,-0.0024116290271011444,-0.00024035256200139864,-0.001334320438627341,-5.3958636175421154e-05
23,-0.003340045823976222,-0.0028857213984098276,-0.0004145939923283007,0.0003700877710792992,-0.0031003872984997844,-0.004805460568738284,-0.007444043377886513,-0.005802900912517698
24,-0.00155011811088949,-0.00022623236384401117,0.0036639077017854007,0.0024762390036589003,-0.0007261724362074909,-2.7173463804698768e-05,0.00015026564553272288,9.715939820553743e-05
25,-0.0022534930002657246,-0.0017537137397349925,0.0005785450155076002,0.0010061227296566996,-0.002497857155257627,-0.002771989084584086,-0.0021563738650609496,-0.0011424873346278421
26,0.0011494895942887667,0.002067149508228455,0.005876146890509901,0.005959988316805699,0.0003584341797279915,0.0007632046785868273,0.0022154770278380014,0.0032036034590186696
27,0.0036816631990611824,0.0031888916710729187,0.0084236906046974,0.0106157703564911,0.0013739218151444781,0.0020313894739829386,0.002285603964215761,0.002390614341168537
28,-0.00014157300588578826,-0.001597496618656405,-0.0009083908128950996,-0.0022565232342313998,-0.004724399063366507,-0.005145950678950006,-0.0040325934446481995,-0.0028836147825510253
29,-0.002084834624737752,-0.0021487421796332158,0.0015808995476882005,0.0002640929802321997,-0.0036601878211363556,-0.0016456115140108555,-0.0020570054257212974,-0.0018256224336092508
30,-0.0011160203273501345,-0.0003405685755193859,0.0006322215113083,0.00021639717587169927,-3.856549974775095e-05,-0.0003452665755008808,-0.0011591026096067873,-0.001127197655253492
31,0.0009719505682586381,0.0013989649814449608,0.0023316663630548002,-0.0007098584252626999,0.0006580975976613578,0.0004056286507216709,-0.000589697446242681,-0.0010092738251739602
