,Model,1,2,3,4,5,6,7,8,FIX_2007,EW_2007,RW_2007,FIX_2011,EW_2011,RW_2011
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1,MIDAS,0.8228300646840804,1.67229881726956,2.7367898802485713,1.8164653831611626,2.2133389666260728,2.7914449547509776,1.8882296166307397,1.9209531005407905,2.0,,,,,
2,DFM [A],0.890020791067442,0.9687778755701616,1.0137264121607572,1.0774104642882039,1.3411671667754035,1.7006659929672008,2.0010006080907647,2.1795195476651603,3.0,,,,,
3,DFM [B],0.937110834816876,1.0686746176885464,1.2019713801300598,1.343777824446412,1.7990490892034108,2.31027819678797,2.6383535307408303,2.8006134077240987,4.0,,,,,
4,singleESN [A],0.8517942241439512,0.993694835245832,0.994680121833514,0.9946643402518638,0.9925408833716052,0.9910126132160818,0.9909631400641309,0.9910044434454478,5.0,,,,,
5,singleESN [B],0.871225086230008,0.9860037737170347,0.9888662320781704,0.9888768327044587,0.9845004015685614,0.9814018355905844,0.9813558929765632,0.9814496117074986,6.0,,,,,
6,multiESN [A],0.8976166749482016,0.9802394228157326,0.9898976925676064,0.9910174041952403,0.9876639031367767,0.985204033832137,0.9851540503690983,0.9852271062202447,7.0,,,,,
7,multiESN [B],0.7670225061836581,0.9541105522006842,0.9833085072271331,0.9914152295610458,0.9910756038990411,0.9902811888414537,0.9906930051210278,0.9910032297532695,8.0,,,,,
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,
1,MIDAS,0.813835570341935,1.2826546778658272,1.5177806913454968,1.5959004532603835,1.6972602138189599,1.3907438615295291,1.9510104346996122,1.7999525793632782,,2.0,,,,
2,DFM [A],0.9848415656281682,1.1085541680180715,1.123074569152998,1.1140282416691958,1.2169966698883425,1.225513681413903,1.2411509005736443,1.5385911859323194,,3.0,,,,
3,DFM [B],0.9889719006613559,1.0824185680613991,1.1489318151778065,1.1990724984662784,1.3149840760046079,1.4122294949121066,1.372535981430969,1.4246197943274153,,4.0,,,,
4,singleESN [A],0.7709253250952683,1.259933035916491,1.484709760537329,1.563642144831371,2.07041986429039,2.72800035843649,2.5500910104566477,2.833985748284539,,5.0,,,,
5,singleESN [B],0.772211722620021,1.0310403923669658,1.1352074736391309,1.318935580948339,1.8309393895765702,2.279079447597644,2.4486028209253345,2.555991691845653,,6.0,,,,
6,multiESN [A],0.7924785072847957,0.8967155690641886,0.9413440647033914,0.9757925170616215,1.0153621729178604,1.2399645061416207,1.3770763435451283,1.226732779176695,,7.0,,,,
7,multiESN [B],0.7398360708179327,0.8528585289068014,0.8944727992292731,0.9113683786433209,0.8732746690778795,0.9928122826906937,1.0198040140795719,1.020272840242118,,8.0,,,,
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,
1,MIDAS,0.9330225295941311,1.4376594270965863,1.641533114936922,1.9926140004775683,1.7940298952073985,1.6610852607446018,1.816184640953116,1.9733149593554706,,,2.0,,,
2,DFM [A],0.9310380491647969,1.0174190131558685,1.033404593952377,1.020044357255165,1.024110062620226,1.0030165554440158,0.9178952845208287,1.0623431546308815,,,3.0,,,
3,DFM [B],0.9424731918550454,0.9730438352364061,0.9698698583778399,1.0447401392190532,1.059059094401449,1.2031185037647796,1.2250833354036659,1.2628237648887934,,,4.0,,,
4,singleESN [A],0.7143262491918072,1.3203116980189749,1.6928318699538423,1.9715367848253496,2.733326622403273,3.6692877844745153,3.3909111468184636,3.719201730185797,,,5.0,,,
5,singleESN [B],0.7369123974066298,1.0997229135561564,1.2479664351724282,1.6673751779095565,2.327379435460303,2.764753366571115,2.8420265383963192,2.7918475711237596,,,6.0,,,
6,multiESN [A],0.773308019543255,0.9717354765750408,1.0527323625847518,1.111420279521637,1.1874323027144427,1.2929271807528846,1.505061067880134,1.1311338715406885,,,7.0,,,
7,multiESN [B],0.7155821295102943,0.8949128980955701,0.9161792605948914,0.9261371461435833,0.8904672337145196,1.0414048924687938,1.1024163574873833,1.1048565328543831,,,8.0,,,
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,
1,MIDAS,1.0897538811807783,1.7211791549159479,1.792706793859789,2.203092210285542,2.3630349091842717,1.9970768020539353,2.846018117045551,2.3275951642642254,,,,2.0,,
2,DFM [A],1.1121770264029893,1.0506058417757937,0.998842375395235,1.0793324502433124,1.084018883567737,1.024584362900092,1.0196411613484666,1.060989805623206,,,,3.0,,
3,DFM [B],1.0582126598952775,0.9449754093170825,0.9156390356181743,1.0027023500709598,1.0116811157779424,0.9695100984047775,1.0383229328563794,1.0330376050937973,,,,4.0,,
4,singleESN [A],0.9779640442993996,1.7052817127308122,2.5605630295368274,2.704434386748557,3.3142073788166746,3.1509340170363385,2.998978205342362,3.3164615874398944,,,,5.0,,
5,singleESN [B],0.9295905654511478,1.0950467161768367,1.8849707867664358,2.35618995424336,2.6497607681818325,2.703660136241182,2.8801161143974783,2.844000095849432,,,,6.0,,
6,multiESN [A],1.0590128542875192,1.1484029761083068,1.262195232016569,1.3121432393444097,1.3391056571523177,1.4089878375847154,1.4240244917017422,1.1615842752680203,,,,7.0,,
7,multiESN [B],0.9814338206513362,1.0067983922298878,0.9854681104243052,0.9940253390871886,1.0084713726919912,0.998785924757666,0.9992572704520555,0.9983587909397745,,,,8.0,,
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,
