M0,H,T,Loss
Mean,0,0,3.6120741171753067e-06
Mean,0,1,2.876502428871398e-06
Mean,0,2,2.2288516416636156e-05
Mean,0,3,2.9496278682346172e-05
Mean,0,4,4.504038043052567e-06
Mean,0,5,2.5347423861232923e-05
Mean,0,6,2.588621323795413e-06
Mean,0,7,5.29278809873972e-07
Mean,0,8,9.615703338666952e-05
Mean,0,9,4.5132692306193575e-05
Mean,0,10,3.0476370156367933e-05
Mean,0,11,2.980229079553779e-06
Mean,0,12,3.817790575778022e-06
Mean,0,13,5.427873281808795e-08
Mean,0,14,7.219444626735723e-06
Mean,0,15,1.8194063796784308e-05
Mean,0,16,1.1516101508243061e-07
Mean,0,17,5.792082469349943e-06
Mean,0,18,7.282994310760903e-07
Mean,0,19,7.719383177363262e-09
Mean,0,20,2.5400700489902787e-09
Mean,0,21,1.0114656379846817e-06
Mean,0,22,6.453757468192566e-06
Mean,0,23,2.114763787508785e-05
Mean,1,0,2.7028420280964963e-06
Mean,1,1,2.0810387508143763e-05
Mean,1,2,3.0270539603096963e-05
Mean,1,3,4.384488988119074e-06
Mean,1,4,2.560823952747961e-05
Mean,1,5,2.2481517431854417e-06
Mean,1,6,5.673225415746047e-07
Mean,1,7,9.773796285795376e-05
Mean,1,8,4.229306315860371e-05
Mean,1,9,3.067053008013904e-05
Mean,1,10,2.6069269700062513e-06
Mean,1,11,3.701074326464824e-06
Mean,1,12,1.1938759063509623e-07
Mean,1,13,7.553431704351953e-06
Mean,1,14,1.9775994826534017e-05
Mean,1,15,5.802730271861707e-08
Mean,1,16,6.0208023104628876e-06
Mean,1,17,4.4555537952982445e-07
Mean,1,18,1.4765822735001376e-08
Mean,1,19,4.714562386819231e-08
Mean,1,20,6.50770312926096e-07
Mean,1,21,6.427303836394698e-06
Mean,1,22,2.1285268760922274e-05
Mean,1,23,7.296012809613839e-06
Mean,2,0,2.0024294458521236e-05
Mean,2,1,2.9086452966381857e-05
Mean,2,2,4.2218353013010245e-06
Mean,2,3,2.694244781895032e-05
Mean,2,4,2.2047670734943686e-06
Mean,2,5,5.622101258373841e-07
Mean,2,6,9.696708973441507e-05
Mean,2,7,4.187102502354939e-05
Mean,2,8,2.9359178807810316e-05
Mean,2,9,2.2346441859716085e-06
Mean,2,10,3.860281443818923e-06
Mean,2,11,1.4844378497214142e-07
Mean,2,12,7.6152004777572825e-06
Mean,2,13,1.9855463033279835e-05
Mean,2,14,1.2788709992013361e-08
Mean,2,15,6.621406536539594e-06
Mean,2,16,3.289782910260675e-07
Mean,2,17,4.575378725399089e-08
Mean,2,18,1.0386615189826123e-07
