,Model,1,2,3,4,5,6,7,8,FIX_2007,EW_2007,RW_2007,FIX_2011,EW_2011,RW_2011
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1,AR(1),0.8703936840892436,0.9499880744645713,0.9818323630121962,0.9909695537848642,0.9916351984181351,0.9914917485718404,0.9916187003085635,0.9916722120647763,2.0,,,,,
2,DFM [A],0.9140065926863196,0.9465393902175264,0.9554058548785711,0.9877429907501167,1.0147108117724493,1.026623554989065,1.0342997085655354,0.9951286797989454,3.0,,,,,
3,DFM [B],1.04568997054661,1.2040191140505532,1.2931260978470775,1.3406917866405252,1.6490359764670157,1.9840497255439917,2.101376918820279,2.0698919343024484,4.0,,,,,
4,singleESN [A],0.984767455752739,0.9954973336377035,0.995474086652934,0.9954354787587604,0.9936150228564676,0.9923027547657566,0.9922574165885152,0.9922923562335108,5.0,,,,,
5,singleESN [B],0.9122966245402384,0.9852011673919303,0.9853539535230257,0.9853007114787881,0.9795610279985688,0.9755403845906442,0.9755283214265541,0.9756586070899879,6.0,,,,,
6,multiESN [A],0.9500885915464475,0.9932943017105372,0.9941121010638342,0.9941856470235145,0.9918899970831893,0.9902259465349816,0.9901716709154151,0.9902164614234522,7.0,,,,,
7,multiESN [B],0.8264018816637593,0.9724531926410278,0.9877536844893692,0.9904341151867782,0.9885750016710029,0.9861726500337265,0.9854611485535609,0.9849968774645751,8.0,,,,,
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,
1,AR(1),0.8866545385623923,0.9217941804272419,0.950886311726397,0.9620949074650794,0.9571272760899509,0.981474190053942,1.001316835180758,1.008093345311916,,2.0,,,,
2,DFM [A],0.8054811333612114,0.9164235681534172,0.978323033113991,1.0376821517594708,1.0772679482418486,1.126240447278105,1.077251485710292,1.0734604068095057,,3.0,,,,
3,DFM [B],0.8931174165762427,1.1340351163167286,1.417643626755675,1.5671963059566714,2.237782073637414,2.9638527061838937,3.375244390725695,3.6290957738082446,,4.0,,,,
4,singleESN [A],0.8788329112216752,1.1245356940526154,1.3049444551510967,1.441871652257091,1.8599872163438032,2.166090878066577,2.3610107424598237,2.4428757859114505,,5.0,,,,
5,singleESN [B],0.801996812805535,1.1743036177459787,1.4390517354018157,1.7435827974251779,2.3046343814909065,2.868732984909298,2.9350069809650243,3.167143510633909,,6.0,,,,
6,multiESN [A],0.7795133903777883,0.9346988644891969,1.0120413892809492,1.0054378180873846,1.092728687733002,1.336953612485892,1.3281261411233338,1.3132541655853407,,7.0,,,,
7,multiESN [B],0.7602544702028312,0.8744186014520238,0.9112417239821217,0.8909171022862188,0.863393391001145,0.9707047258528144,1.030488339089128,1.0506309856773663,,8.0,,,,
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,
1,AR(1),0.8976936026355979,0.942750556089887,0.9676032283597864,0.9739308656137684,0.9627093167922068,0.9677758367005129,0.9704019405960459,0.962339476399711,,,2.0,,,
2,DFM [A],0.8372630106042208,0.912654288341286,0.923613731567893,0.954344608912218,1.0123388120032788,0.9969762842133216,1.0177802396896383,1.0050901653887527,,,3.0,,,
3,DFM [B],0.9322515646209679,1.115873210613083,1.2316080794908872,1.4144966853395986,1.9517067246776236,2.7041291388589865,3.1826237013066097,3.2936154450680397,,,4.0,,,
4,singleESN [A],0.8729619901776831,1.2738523115839846,1.529851522028984,1.6522243364541471,2.095072090183069,2.5748462231761153,2.7862960053325594,3.013635803751841,,,5.0,,,
5,singleESN [B],0.7318882372161463,1.1904977513845476,1.490221941348914,1.7123885323867343,2.2183028071913555,2.861131816062006,2.9666992780176664,3.0941110977408792,,,6.0,,,
6,multiESN [A],0.7319224203879394,0.9137106330571428,0.9603159758225063,1.01099545692027,1.2023862081320342,1.6182533008872364,1.6834744226803062,1.5723512020504529,,,7.0,,,
7,multiESN [B],0.7306922399563587,0.8712882821337314,0.8748055070328228,0.8439479588093477,0.7709148651081184,0.9714153000593694,1.014423336688149,1.0135131279996281,,,8.0,,,
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,
1,AR(1),1.1187862211048134,1.0307342053809747,1.0075705572076534,1.00129493079057,1.0010470681647663,0.9988752133305603,0.9990622655281155,0.9982342577181448,,,,2.0,,
2,DFM [A],1.1261513531517642,0.9870610091999584,0.9617628381725016,1.0537931140106556,1.0305295536664247,0.9881599346274812,1.0010370247802476,1.0021439740163316,,,,3.0,,
3,DFM [B],1.1491384441622958,0.9873906566542003,0.8845651294549958,1.063862628281137,1.142395727533498,1.1338067135950178,1.2728520619813912,1.2959189080063096,,,,4.0,,
4,singleESN [A],1.2834373178504384,1.9213877018512076,2.527242380411473,3.0382410191423483,3.284912336608559,3.1541313839496223,3.1927443248593694,3.6552191282068587,,,,5.0,,
5,singleESN [B],1.0587181855300218,1.5231458470166814,1.917726825139007,2.41744594762807,2.812179434634146,2.6826926758386582,2.702910822381074,2.969634842435388,,,,6.0,,
6,multiESN [A],1.0111740527058635,1.0612958539867863,1.4342849209178383,1.477362025956083,1.7483296745790535,2.030109497032342,2.0225938082957216,1.9940023306029284,,,,7.0,,
7,multiESN [B],0.8411164378973822,0.9448268868718837,0.9969371406148965,0.9779384544555091,1.0044498571709548,1.0149550561976735,1.0125610112184866,1.0142685123058144,,,,8.0,,
0,Mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,
