M0,H,T,Loss
Mean,0,0,-0.0019005457419318554
Mean,0,1,0.0016960254800183275
Mean,0,2,0.004721071532675199
Mean,0,3,0.005431047659738052
Mean,0,4,-0.0021222719060131215
Mean,0,5,0.005034622514273828
Mean,0,6,-0.0016089193030712923
Mean,0,7,-0.0007275155049027973
Mean,0,8,0.009805969273186079
Mean,0,9,-0.006718086952860433
Mean,0,10,-0.005520540748547006
Mean,0,11,0.0017263339999993568
Mean,0,12,-0.0019539167269303015
Mean,0,13,0.00023297796637898605
Mean,0,14,0.0026869024222579657
Mean,0,15,0.004265450011052094
Mean,0,16,-0.000339353819902518
Mean,0,17,0.0024066745665648156
Mean,0,18,-0.0008534046115859055
Mean,0,19,8.78600203583135e-05
Mean,0,20,5.039910762097161e-05
Mean,0,21,-0.0010057164799209973
Mean,0,22,-0.002540424662963373
Mean,0,23,-0.004598656094457146
Mean,1,0,0.00164403224667173
Mean,1,1,0.00456184036416705
Mean,1,2,0.005501866919791587
Mean,1,3,-0.0020939171397452846
Mean,1,4,0.005060458430565319
Mean,1,5,-0.0014993837878226647
Mean,1,6,-0.0007532081661629835
Mean,1,7,0.009886251203461996
Mean,1,8,-0.006503311707015412
Mean,1,9,-0.005538098056204769
Mean,1,10,0.0016145980831173594
Mean,1,11,-0.0019238176437658596
Mean,1,12,0.0003455250940743613
Mean,1,13,0.0027483507244076316
Mean,1,14,0.004447020893422249
Mean,1,15,-0.0002408885690908082
Mean,1,16,0.0024537323224962594
Mean,1,17,-0.0006674993479620969
Mean,1,18,0.00012151470172370657
Mean,1,19,0.00021713043054392978
Mean,1,20,-0.0008067033611719341
Mean,1,21,-0.0025352127793135427
Mean,1,22,-0.004613596076914653
Mean,1,23,-0.00270111325375554
Mean,2,0,0.004474851333678163
Mean,2,1,0.0053931857900856575
Mean,2,2,-0.00205471051520671
Mean,2,3,0.005190611507226323
Mean,2,4,-0.0014848458079862598
Mean,2,5,-0.0007498067256549411
Mean,2,6,0.009847186894459507
Mean,2,7,-0.006470782412007793
Mean,2,8,-0.005418411096235714
Mean,2,9,0.0014948726320230792
Mean,2,10,-0.00196475989469933
Mean,2,11,0.0003852840315561254
Mean,2,12,0.00275956526970414
Mean,2,13,0.00445594692891195
Mean,2,14,-0.00011308717872514709
Mean,2,15,0.0025732093845117995
Mean,2,16,-0.0005735662917449626
Mean,2,17,0.00021390134935056135
Mean,2,18,0.00032228272044628956
Mean,2,19,-0.000826385975646376
Mean,2,20,-0.002591439529565083
Mean,2,21,-0.004749434799960266
Mean,2,22,-0.002875758409512724
Mean,2,23,-0.0033722575161491894
Mean,3,0,0.005189755208716922
Mean,3,1,-0.002016392675487445
Mean,3,2,0.005211482301306692
Mean,3,3,-0.0013667109040545605
Mean,3,4,-0.0007283951827949855
Mean,3,5,0.009902329088296507
Mean,3,6,-0.006399595921746314
Mean,3,7,-0.0053367000346018646
Mean,3,8,0.0016883441824097388
Mean,3,9,-0.0020934562410532083
Mean,3,10,0.0003210857989851979
Mean,3,11,0.002922557037146782
Mean,3,12,0.004486497515127629
Mean,3,13,3.552288931512378e-05
Mean,3,14,0.002648170847407562
Mean,3,15,-0.00046279007313311527
Mean,3,16,0.0003611214051800586
Mean,3,17,0.0004001651702449588
Mean,3,18,-0.0006726373957609303
Mean,3,19,-0.002393174308903615
Mean,3,20,-0.004730699191511688
Mean,3,21,-0.0028661861296163807
Mean,3,22,-0.003442042577597351
Mean,3,23,7.08423642286262e-05
Mean,4,0,-0.00216919761536418
Mean,4,1,0.005217415047006789
Mean,4,2,-0.0012428916247248572
Mean,4,3,-0.000620558202340778
Mean,4,4,0.009815178330826761
Mean,4,5,-0.006356971411001559
Mean,4,6,-0.005313995001086671
Mean,4,7,0.001672003939075582
Mean,4,8,-0.0020007204562792766
Mean,4,9,0.00026390089506620265
Mean,4,10,0.002866874909414554
Mean,4,11,0.004547459605066587
Mean,4,12,1.2392598001476421e-05
Mean,4,13,0.0027417898698329965
Mean,4,14,-0.0003668523987008371
Mean,4,15,0.0005203757322365258
Mean,4,16,0.00045192243619821947
Mean,4,17,-0.0005215300929929025
Mean,4,18,-0.0024288608282403406
Mean,4,19,-0.0047916121131906415
Mean,4,20,-0.002990493735392883
Mean,4,21,-0.0035943213902220475
Mean,4,22,8.83003958517467e-05
Mean,4,23,0.0026292461887039856
Mean,5,0,0.005212848536305301
Mean,5,1,-0.001255924096181706
Mean,5,2,-0.0005089836632719913
Mean,5,3,0.009931141031350036
Mean,5,4,-0.0063928726992518265
Mean,5,5,-0.005158658926731648
Mean,5,6,0.0017444018756473164
Mean,5,7,-0.001944095090944323
Mean,5,8,0.0003503789891219841
Mean,5,9,0.0027859002585253587
Mean,5,10,0.004615391016401359
Mean,5,11,9.365022310351637e-05
Mean,5,12,0.0028598594942494562
Mean,5,13,-0.0003273164793940178
Mean,5,14,0.0006071453135406612
Mean,5,15,0.0006662080021383968
Mean,5,16,-0.00048509991411412306
Mean,5,17,-0.0022277246399915185
Mean,5,18,-0.004606243967694941
Mean,5,19,-0.002975346232945583
Mean,5,20,-0.003570726848291339
Mean,5,21,4.293371684964582e-05
Mean,5,22,0.002612367424374315
Mean,5,23,-0.0010880773139002884
Mean,6,0,-0.0012937936209565064
Mean,6,1,-0.0004182152393596029
Mean,6,2,0.010032206918337075
Mean,6,3,-0.006385649655294535
Mean,6,4,-0.00520840560532005
Mean,6,5,0.0018517197156891364
