,Mean,MIDAS [RW],DFM [A],DFM [B],singleESN [A] [RW],singleESN [B] [RW],multiESN [A] [RW],multiESN [B] [RW]
0,0.011470073891844262,0.007214236606008253,0.0089997399106858,0.0102487277759922,0.010007219123509475,0.010542230892576545,0.010110765405740883,0.010973803735776139
1,0.0014731601951491402,-0.008781591879999173,-0.0034115523848812996,-0.0038884213129795997,-0.0013913853614826999,-0.0014821914120380425,-0.0020236647381254103,-0.002250678928918783
2,0.012491604244272899,0.004459877342502852,0.0097419385589076,0.0115182289504681,0.009412693026544443,0.009997092108438504,0.009573103140714034,0.004522925791535322
3,0.02919893074275108,0.005409874867206472,0.0232854545632155,0.0240126888585842,0.01882897594046404,0.01834491148618447,0.01943689715107219,0.011785369255922197
4,0.018672297314421795,-0.020072787350003174,0.0100225276670006,0.0077334624257785,0.00012576491748151133,0.006624878386151455,0.00741271525464879,-0.011028723810964923
5,0.008542686047727583,-0.01480747664062981,-0.0102003337621798,-0.008514787921531,-0.006471870623041492,-0.0074246131504734315,-0.00982455574201974,-0.010127845894415819
6,0.003104705594827386,0.0005343346669380114,-0.0102123492008137,-0.0086242799311932,-0.00010265090884079616,0.0022529627507106493,0.0028660056737105995,0.0019276799640965537
7,-0.003925355403498002,-0.006306644897772896,-0.0129385964772991,-0.011426734412183401,-0.004680548611053946,-0.003967981849731097,-0.0036502835536658925,-0.0034454844161113923
8,0.001808780211258642,0.0007262237173966167,-0.004897123791864549,-0.0032362624798992004,0.0012627005025571576,0.0019474779730284976,0.001470826638019381,0.0036487678072979627
9,-0.002929675486625958,0.005112862836544132,-0.006434264345474899,-0.004677412999127,0.0009196969604100807,0.000880134313923843,0.0031460063614311834,0.0025358068069587653
10,-0.0010168910548936658,0.0030946084728780696,-0.0081683999246195,-0.0064914023311441,-0.0030515774274422524,-0.003427579435406468,-0.0053566265930947675,-0.0008818503925104382
11,0.001472721437103289,0.0038198275856832628,-0.0026369523004908003,-0.0007905004032293999,0.0024885837516571965,0.0025404984599962438,0.0039297828461630395,0.0034942788860327636
12,0.00899517282502617,0.01250450773745894,0.006620659995079,0.0087691434223971,0.011067663842331307,0.010422083979167811,0.011247451341109809,0.011400865080891259
13,-0.000231190945710732,0.0014796436332257506,-0.0034610380678895005,-0.0021824650743361004,0.003222614742449125,0.002142403444209476,0.002107686016825516,0.0018046448178561398
14,0.006927420297585688,0.006982747828947482,0.0034940721207969,0.004402882575453,0.008333699507310567,0.0077276191623912634,0.006891933820332171,0.008912507053920776
15,-0.004686166237519612,-0.0006808994789039204,-0.0107072480677871,-0.0121362708791488,-0.0036612950710610366,-0.004932754057119032,-0.0014082402697893435,-0.0057473972675489825
16,-0.0017104907851663992,-0.00047198939068197367,-0.005336642341573999,-0.006181691998400799,-0.0022150549833479007,-0.002690756519818052,0.00020367763723287864,-0.0014087872129110134
17,0.0018662504238628952,0.0010180569181660578,0.0004017881630915994,0.0021816354099496,0.002912261314142648,0.0031079916040055887,0.004833476183200438,0.0037419622049935956
18,0.004543414506570468,-0.000924398000185578,0.0024266693227156,0.0026571092601825,0.0013242712381673944,0.0009635442592765883,0.0018964589803986734,0.0016527574810072387
19,0.0051362578536406365,0.004900157776901368,0.0048309144441257,0.0061392715932977,0.005026218978727655,0.005101498732991632,0.005552033707066659,0.005660871088932822
20,-0.0025493717017670368,-0.0014170265592813938,-0.0027075155409600005,-0.0016567328225857011,-0.0021456082183675066,-0.0018174219675392202,-0.0031511068045881495,-0.001517046784459422
21,0.004769035852972543,0.006818202727109826,0.0046439797178225994,0.0053559501735725,0.004728267491307096,0.004888799543801509,0.004412906273630737,0.004731734968486348
22,-0.0017454693107497553,-0.0026211604833480786,-0.0037266532846136,-0.0036094833040228,-0.001530538499407973,-0.0016773468808814933,-0.001434903562510208,-0.002513248981661563
23,-0.0009547769009637967,-0.0003856519821389369,-0.0016982043818041005,-0.0007357149581265999,0.0013388496664561702,0.0012221244240226007,-0.0010245766470406833,-0.0007666705050968121
24,0.009643437024505815,0.008607593295299767,0.009487445912927401,0.0106655117736351,0.009133626549385718,0.009372609766699222,0.008407758578144808,0.010753299054531519
25,-0.006775690202599047,-0.002249521587110434,-0.0066400526136245995,-0.0058315607164848,-0.0015555901461616652,-0.001994342649135176,-0.0029654213105150297,-0.004075100877466037
26,-0.005650957594957835,-0.006154223696112597,-0.0052451162941387006,-0.0042641224127719,-0.004381855922426072,-0.003911360805417425,-0.0051187861915743555,-0.004047424173949022
27,0.0014882757961062164,-0.0037826215428947655,0.0014731792339747005,0.0023013041590398,-0.00022658347989724763,0.0002860153346374841,0.00013712747063647848,0.0009837373463382352
28,-0.002213338042598223,-0.00047788916431639687,-0.0021778960269038996,-0.0022512957916207997,-0.0006697752245584873,-0.0007196049815961503,-0.001535113802128606,-0.001923996377594741
29,0.00012677381404622382,-0.0045297253159693384,4.215348086400016e-05,0.00011790302158150041,-0.0012992351826646154,-0.0016784113634677389,-0.00041782507402235436,-0.00040126929476557143
30,0.0025329132601277526,0.0010314584882099068,0.0032512997326425,0.0039959592162525995,0.002300581745975527,0.0023355545981724687,0.002261354821384964,0.0024848446078696612
31,0.004172346062605992,0.005100791992989302,0.0036176115627860003,0.0035230493735329,0.004022531045489646,0.003106223680243146,0.00407880450679228,0.0041081160907303575
32,-0.000339353819902518,-0.006102532813192244,-0.0013528516704240994,0.0004829977371405003,-0.0015618958164241312,-0.0030982296819746205,-0.0019180806510649207,-0.00042569605879213754
33,0.0024593080485925786,-0.0008018900979880946,0.0027452224868005997,0.0041016674181339995,0.0007148008828164426,0.0019361570433736193,0.0013895096068413577,0.001966717139175026
34,-0.0006005850411793185,0.0007393440887909159,-0.0017273664368575997,-0.0010955034445553997,0.000990483343288366,0.0004521219821417748,0.0005011939163533227,0.00012662690209635542
35,0.00034631416297179786,-0.00069268886857055,-7.373465991789962e-05,0.0029960667848759,-0.00012217149076257892,0.0003896041002643541,0.00035886635370787224,0.00018882540326962613
36,0.000440853694557577,0.0010070552819398792,0.0011135651247143,0.0048991685466548,0.0009697996456479018,0.0013478378374390003,0.0019451258677862446,0.0007996691048156191
37,-0.000498057014448933,-0.00039350051520287404,0.00048033382408149954,0.0025872505878648993,-0.0004044496701641632,0.0005005185854598951,9.877164820360461e-05,7.133918509412505e-05
