M0,H,T,Loss
Mean,0,0,-0.0019005457419318554
Mean,0,1,0.0016971731827098435
Mean,0,2,0.004498111750842044
Mean,0,3,0.005147636208669644
Mean,0,4,-0.002395044861535957
Mean,0,5,0.0048525324171951436
Mean,0,6,-0.001639948651839856
Mean,0,7,-0.0008411269604230564
Mean,0,8,0.009752654653893245
Mean,0,9,-0.006514124723185056
Mean,0,10,-0.005336868000204157
Mean,0,11,0.0017655297631130442
Mean,0,12,-0.0018548264504893554
Mean,0,13,0.0004621551148414442
Mean,0,14,0.003016904628963244
Mean,0,15,0.0047841388218071434
Mean,0,16,0.00037090419011034416
Mean,0,17,0.0032260887915416436
Mean,0,18,0.00025225521944424387
Mean,0,19,0.0012888303258805443
Mean,0,20,0.0015372047184108442
Mean,0,21,0.0006633744901421434
Mean,0,22,-0.0009203502829617559
Mean,0,23,-0.0031146419601146566
Mean,1,0,0.0016971731827098435
Mean,1,1,0.004498111750842044
Mean,1,2,0.005147636208669644
Mean,1,3,-0.002395044861535957
Mean,1,4,0.0048525324171951436
Mean,1,5,-0.001639948651839856
Mean,1,6,-0.0008411269604230564
Mean,1,7,0.009752654653893245
Mean,1,8,-0.006514124723185056
Mean,1,9,-0.005336868000204157
Mean,1,10,0.0017655297631130442
Mean,1,11,-0.0018548264504893554
Mean,1,12,0.0004621551148414442
Mean,1,13,0.003016904628963244
Mean,1,14,0.0047841388218071434
Mean,1,15,0.00037090419011034416
Mean,1,16,0.0032260887915416436
Mean,1,17,0.00025225521944424387
Mean,1,18,0.0012888303258805443
Mean,1,19,0.0015372047184108442
Mean,1,20,0.0006633744901421434
Mean,1,21,-0.0009203502829617559
Mean,1,22,-0.0031146419601146566
Mean,1,23,-0.0013541760811498563
Mean,2,0,0.004498111750842044
Mean,2,1,0.005147636208669644
Mean,2,2,-0.002395044861535957
Mean,2,3,0.0048525324171951436
Mean,2,4,-0.001639948651839856
Mean,2,5,-0.0008411269604230564
Mean,2,6,0.009752654653893245
Mean,2,7,-0.006514124723185056
Mean,2,8,-0.005336868000204157
Mean,2,9,0.0017655297631130442
Mean,2,10,-0.0018548264504893554
Mean,2,11,0.0004621551148414442
Mean,2,12,0.003016904628963244
Mean,2,13,0.0047841388218071434
Mean,2,14,0.00037090419011034416
Mean,2,15,0.0032260887915416436
Mean,2,16,0.00025225521944424387
Mean,2,17,0.0012888303258805443
Mean,2,18,0.0015372047184108442
Mean,2,19,0.0006633744901421434
Mean,2,20,-0.0009203502829617559
Mean,2,21,-0.0031146419601146566
Mean,2,22,-0.0013541760811498563
Mean,2,23,-0.0020591167152207565
Mean,3,0,0.005147636208669644
Mean,3,1,-0.002395044861535957
Mean,3,2,0.0048525324171951436
Mean,3,3,-0.001639948651839856
Mean,3,4,-0.0008411269604230564
Mean,3,5,0.009752654653893245
Mean,3,6,-0.006514124723185056
Mean,3,7,-0.005336868000204157
Mean,3,8,0.0017655297631130442
Mean,3,9,-0.0018548264504893554
Mean,3,10,0.0004621551148414442
Mean,3,11,0.003016904628963244
Mean,3,12,0.0047841388218071434
Mean,3,13,0.00037090419011034416
Mean,3,14,0.0032260887915416436
Mean,3,15,0.00025225521944424387
Mean,3,16,0.0012888303258805443
Mean,3,17,0.0015372047184108442
Mean,3,18,0.0006633744901421434
Mean,3,19,-0.0009203502829617559
Mean,3,20,-0.0031146419601146566
Mean,3,21,-0.0013541760811498563
Mean,3,22,-0.0020591167152207565
Mean,3,23,0.0014374652465203438
Mean,4,0,-0.002395044861535957
Mean,4,1,0.0048525324171951436
Mean,4,2,-0.001639948651839856
Mean,4,3,-0.0008411269604230564
Mean,4,4,0.009752654653893245
Mean,4,5,-0.006514124723185056
Mean,4,6,-0.005336868000204157
Mean,4,7,0.0017655297631130442
Mean,4,8,-0.0018548264504893554
Mean,4,9,0.0004621551148414442
Mean,4,10,0.003016904628963244
Mean,4,11,0.0047841388218071434
Mean,4,12,0.00037090419011034416
Mean,4,13,0.0032260887915416436
Mean,4,14,0.00025225521944424387
Mean,4,15,0.0012888303258805443
Mean,4,16,0.0015372047184108442
Mean,4,17,0.0006633744901421434
Mean,4,18,-0.0009203502829617559
Mean,4,19,-0.0031146419601146566
Mean,4,20,-0.0013541760811498563
Mean,4,21,-0.0020591167152207565
Mean,4,22,0.0014374652465203438
Mean,4,23,0.004016481670030844
Mean,5,0,0.0048525324171951436
Mean,5,1,-0.001639948651839856
Mean,5,2,-0.0008411269604230564
Mean,5,3,0.009752654653893245
Mean,5,4,-0.006514124723185056
Mean,5,5,-0.005336868000204157
Mean,5,6,0.0017655297631130442
Mean,5,7,-0.0018548264504893554
Mean,5,8,0.0004621551148414442
Mean,5,9,0.003016904628963244
Mean,5,10,0.0047841388218071434
Mean,5,11,0.00037090419011034416
Mean,5,12,0.0032260887915416436
Mean,5,13,0.00025225521944424387
Mean,5,14,0.0012888303258805443
Mean,5,15,0.0015372047184108442
Mean,5,16,0.0006633744901421434
Mean,5,17,-0.0009203502829617559
Mean,5,18,-0.0031146419601146566
Mean,5,19,-0.0013541760811498563
Mean,5,20,-0.0020591167152207565
Mean,5,21,0.0014374652465203438
Mean,5,22,0.004016481670030844
Mean,5,23,0.0002853079754732441
Mean,6,0,-0.001639948651839856
Mean,6,1,-0.0008411269604230564
Mean,6,2,0.009752654653893245
Mean,6,3,-0.006514124723185056
Mean,6,4,-0.005336868000204157
Mean,6,5,0.0017655297631130442
Mean,6,6,-0.0018548264504893554
Mean,6,7,0.0004621551148414442
Mean,6,8,0.003016904628963244
Mean,6,9,0.0047841388218071434
Mean,6,10,0.00037090419011034416
Mean,6,11,0.0032260887915416436
Mean,6,12,0.00025225521944424387
Mean,6,13,0.0012888303258805443
Mean,6,14,0.0015372047184108442
Mean,6,15,0.0006633744901421434
Mean,6,16,-0.0009203502829617559
Mean,6,17,-0.0031146419601146566
Mean,6,18,-0.0013541760811498563
Mean,6,19,-0.0020591167152207565
Mean,6,20,0.0014374652465203438
Mean,6,21,0.004016481670030844
Mean,6,22,0.0002853079754732441
Mean,6,23,-0.0016525587177948558
Mean,7,0,-0.0008411269604230564
Mean,7,1,0.009752654653893245
Mean,7,2,-0.006514124723185056
Mean,7,3,-0.005336868000204157
Mean,7,4,0.0017655297631130442
Mean,7,5,-0.0018548264504893554
Mean,7,6,0.0004621551148414442
Mean,7,7,0.003016904628963244
Mean,7,8,0.0047841388218071434
Mean,7,9,0.00037090419011034416
Mean,7,10,0.0032260887915416436
Mean,7,11,0.00025225521944424387
Mean,7,12,0.0012888303258805443
Mean,7,13,0.0015372047184108442
Mean,7,14,0.0006633744901421434
Mean,7,15,-0.0009203502829617559
Mean,7,16,-0.0031146419601146566
Mean,7,17,-0.0013541760811498563
Mean,7,18,-0.0020591167152207565
Mean,7,19,0.0014374652465203438
Mean,7,20,0.004016481670030844
Mean,7,21,0.0002853079754732441
Mean,7,22,-0.0016525587177948558
Mean,7,23,-0.0005861852037451565
MIDAS,0,0,-0.00211245002691912
MIDAS,0,1,0.004843265038341388
MIDAS,0,2,0.0020545194628464277
MIDAS,0,3,0.0054866956243275295
MIDAS,0,4,0.0019297347736182066
MIDAS,0,5,0.0068966603088865715
MIDAS,0,6,0.00013119032529458445
MIDAS,0,7,0.0014787494119955545
MIDAS,0,8,0.011258381333734583
MIDAS,0,9,0.000548764485713768
MIDAS,0,10,-0.0029520154730032326
MIDAS,0,11,0.0021554197216971833
MIDAS,0,12,0.0006551681527088276
MIDAS,0,13,-0.0024593817492251087
MIDAS,0,14,0.0038900016914242825
MIDAS,0,15,0.005146342544814482
MIDAS,0,16,-0.002527975960502225
MIDAS,0,17,0.0023239879102621877
MIDAS,0,18,0.0017536169240920723
MIDAS,0,19,-0.0025397810733068737
MIDAS,0,20,-0.00033513011049383055
MIDAS,0,21,-0.002230129421444966
MIDAS,0,22,-0.00043775083067611447
MIDAS,0,23,-0.006465501689120927
MIDAS,1,0,0.004446105926892979
MIDAS,1,1,0.009379856114380292
MIDAS,1,2,0.00439659157373576
MIDAS,1,3,-0.0012329284413403543
MIDAS,1,4,0.008599206996246262
MIDAS,1,5,0.002130556520250307
MIDAS,1,6,0.0002761320391742412
MIDAS,1,7,0.013778376088680383
MIDAS,1,8,-0.0021869452928351494
MIDAS,1,9,-0.00428365436525815
MIDAS,1,10,0.010557278853502959
MIDAS,1,11,0.001343752294643969
MIDAS,1,12,0.0037053546481025665
MIDAS,1,13,0.010028191620360102
MIDAS,1,14,0.013328441599465762
MIDAS,1,15,0.0037325711992264874
MIDAS,1,16,0.0034352237520546736
MIDAS,1,17,0.006732377009216194
MIDAS,1,18,0.0028576191738225445
MIDAS,1,19,0.0048243868257460045
MIDAS,1,20,0.00018718436016222553
MIDAS,1,21,0.0005040833817546771
MIDAS,1,22,-0.002559193361642626
MIDAS,1,23,0.0003344550084106194
MIDAS,2,0,0.006400246033835203
MIDAS,2,1,0.01066706138483949
MIDAS,2,2,0.002742229003474114
MIDAS,2,3,0.007344626894848282
MIDAS,2,4,0.0017810028099436437
MIDAS,2,5,0.0030538732581526394
MIDAS,2,6,0.013315413064769245
MIDAS,2,7,-0.004284996869099314
MIDAS,2,8,-0.0012261532115747514
MIDAS,2,9,0.00491807273519829
MIDAS,2,10,0.001105524981282184
MIDAS,2,11,0.007376050688012565
MIDAS,2,12,0.009080291373143205
MIDAS,2,13,0.012610339799217819
MIDAS,2,14,0.009318683405492679
MIDAS,2,15,0.009696352227469014
MIDAS,2,16,0.00442142423954001
MIDAS,2,17,0.005769644724786845
MIDAS,2,18,0.005005132784497346
MIDAS,2,19,0.002315869245565966
MIDAS,2,20,0.0019792563380592824
MIDAS,2,21,4.0400585130481725e-05
MIDAS,2,22,0.0010314697554101642
MIDAS,2,23,-0.0023518862040252143
MIDAS,3,0,0.0112228194577361
MIDAS,3,1,0.00023287184798373786
MIDAS,3,2,0.010973186332112458
MIDAS,3,3,0.001703270577226185
MIDAS,3,4,0.004034450054181615
MIDAS,3,5,0.01586828996964914
MIDAS,3,6,-0.0027158466993126937
MIDAS,3,7,0.0015338260476357776
MIDAS,3,8,0.00935322682048743
MIDAS,3,9,0.002439377545961576
MIDAS,3,10,0.0077896488179659265
MIDAS,3,11,0.011270267529155234
MIDAS,3,12,0.013942161181253302
MIDAS,3,13,0.010823289531072651
MIDAS,3,14,0.011190421795332257
MIDAS,3,15,0.005712660519534475
MIDAS,3,16,0.00795618116125068
MIDAS,3,17,0.010447703552071334
MIDAS,3,18,0.0068016708537583246
MIDAS,3,19,0.004247107948447142
MIDAS,3,20,-7.542579967490838e-05
MIDAS,3,21,-0.0010264021480943615
MIDAS,3,22,0.0009422201586820229
MIDAS,3,23,0.001444608003910738
MIDAS,4,0,0.0023287485672246304
MIDAS,4,1,0.013721789310890888
MIDAS,4,2,0.010334578284698399
MIDAS,4,3,0.00408489558786859
MIDAS,4,4,0.013964332052189093
MIDAS,4,5,-0.0033932170769481722
MIDAS,4,6,-0.0010266026709604657
MIDAS,4,7,0.0071142954559132165
MIDAS,4,8,0.0059485798073024825
MIDAS,4,9,0.003727212298338477
MIDAS,4,10,0.005786280480208995
MIDAS,4,11,0.014124143958805149
MIDAS,4,12,0.011443300331402402
MIDAS,4,13,0.01573410318322948
MIDAS,4,14,0.012874522478893532
MIDAS,4,15,0.010103018273201307
MIDAS,4,16,0.0036395965048795827
MIDAS,4,17,0.006227059115345026
MIDAS,4,18,0.001967761496150841
MIDAS,4,19,-0.0020436913613338867
MIDAS,4,20,-0.0003925286609977397
MIDAS,4,21,0.0007574660671194611
MIDAS,4,22,0.004811275821830743
MIDAS,4,23,0.0032613001354834343
MIDAS,5,0,0.01384295733891859
MIDAS,5,1,0.006772452303222763
MIDAS,5,2,0.005490547689004863
MIDAS,5,3,0.01187448117058237
MIDAS,5,4,-0.003948543709253858
MIDAS,5,5,-0.0014228559622082582
MIDAS,5,6,0.006566749616097517
MIDAS,5,7,0.003724511223293824
MIDAS,5,8,0.006346716772665839
MIDAS,5,9,0.005631303160708383
MIDAS,5,10,0.010524609393840383
MIDAS,5,11,0.008721132487600796
MIDAS,5,12,0.010772335903507325
MIDAS,5,13,0.010202691108295168
MIDAS,5,14,0.008222699692177
MIDAS,5,15,0.005447471613185701
MIDAS,5,16,0.0005969916057572853
MIDAS,5,17,0.002191826539916621
MIDAS,5,18,-0.0016986398350266902
MIDAS,5,19,0.0003061514456321494
MIDAS,5,20,0.0011611469808842211
MIDAS,5,21,0.0032233042440832846
MIDAS,5,22,0.005174702389246779
MIDAS,5,23,-0.0029878017892404607
MIDAS,6,0,0.0133147975526693
MIDAS,6,1,0.008071555323692609
MIDAS,6,2,0.02576688350453278
MIDAS,6,3,-0.0016839095852880827
MIDAS,6,4,0.0022296551507454583
MIDAS,6,5,0.009494706259012208
MIDAS,6,6,0.005902869547385054
MIDAS,6,7,0.010414402003319681
MIDAS,6,8,0.010425954457244521
MIDAS,6,9,0.011438837840077536
MIDAS,6,10,0.008946266891953138
MIDAS,6,11,0.01131869477306242
MIDAS,6,12,0.013105413339080493
MIDAS,6,13,0.011663682013844334
MIDAS,6,14,0.005503962962633063
MIDAS,6,15,0.008403909438576187
MIDAS,6,16,0.0010254231405831295
MIDAS,6,17,-0.0011573537988150574
MIDAS,6,18,-0.0004902329410004366
MIDAS,6,19,0.0010584933840014354
MIDAS,6,20,0.0037019508986426437
MIDAS,6,21,0.0068525896724511174
MIDAS,6,22,0.004008933593770205
MIDAS,6,23,-0.005146191701140486
MIDAS,7,0,0.011401970491913369
MIDAS,7,1,0.02122308007425107
MIDAS,7,2,0.004743069558200908
MIDAS,7,3,0.003862207220449925
MIDAS,7,4,0.009201026382734926
MIDAS,7,5,0.0036265728292824897
MIDAS,7,6,0.007630750988838216
MIDAS,7,7,0.009448193344491592
MIDAS,7,8,0.011195410180690316
MIDAS,7,9,0.008723391328342236
MIDAS,7,10,0.009698568662052494
MIDAS,7,11,0.005906459582400574
MIDAS,7,12,0.008962862621208108
MIDAS,7,13,0.007772715458878492
MIDAS,7,14,0.005707879250013187
MIDAS,7,15,0.003578681988000279
MIDAS,7,16,-0.0009271925474261325
MIDAS,7,17,-0.0006275357268917484
MIDAS,7,18,3.655725072537058e-05
MIDAS,7,19,0.002899826502738326
MIDAS,7,20,0.004470801724558481
MIDAS,7,21,0.0012699024066291685
MIDAS,7,22,-0.0005700664458744582
MIDAS,7,23,-0.0004750165431146834
DFM [A],0,0,-0.002497741740539899
DFM [A],0,1,0.0030595627982091993
DFM [A],0,2,0.003591034210016
DFM [A],0,3,0.0060913059549756
DFM [A],0,4,-0.0008761536289416012
DFM [A],0,5,0.006747683369386
DFM [A],0,6,-0.0025793475872235997
DFM [A],0,7,4.725392414800002e-05
DFM [A],0,8,0.0111008398538078
DFM [A],0,9,-0.0053444683558858
DFM [A],0,10,-0.0030468585257147004
DFM [A],0,11,0.003942047884065301
DFM [A],0,12,-0.0002636238573484988
DFM [A],0,13,0.00044727843046780003
DFM [A],0,14,0.0048413880858464
DFM [A],0,15,0.004622444776725401
DFM [A],0,16,0.0008794896075173001
DFM [A],0,17,0.0040588285326525995
DFM [A],0,18,0.00029573767865950003
DFM [A],0,19,0.0026167464995245004
DFM [A],0,20,0.0040844422850294
DFM [A],0,21,0.002535049997479599
DFM [A],0,22,0.0014388032116378
DFM [A],0,23,-0.0015737747864276001
DFM [A],1,0,0.0011730319671219994
DFM [A],1,1,0.0056451044842845
DFM [A],1,2,0.0043562990841631
DFM [A],1,3,-0.0016068160718674005
DFM [A],1,4,0.0061342716589612
DFM [A],1,5,-3.65823652228002e-05
DFM [A],1,6,-0.0016590359335176006
DFM [A],1,7,0.0104937642303451
DFM [A],1,8,-0.005379280148757299
DFM [A],1,9,-0.004355040919955401
DFM [A],1,10,0.003705301718359
DFM [A],1,11,-9.785775465998708e-06
DFM [A],1,12,0.0018076473951614
DFM [A],1,13,0.0029870209698229003
DFM [A],1,14,0.006327602879223199
DFM [A],1,15,0.00021947764071930057
DFM [A],1,16,0.0036461456892742995
DFM [A],1,17,0.0009466172672657003
DFM [A],1,18,0.0013138793309685004
DFM [A],1,19,0.002656457238873901
DFM [A],1,20,0.0028237481464515003
DFM [A],1,21,0.0006625280947094997
DFM [A],1,22,-0.0011150012403827007
DFM [A],1,23,-5.5997925364499775e-05
DFM [A],2,0,0.0040343829358185
DFM [A],2,1,0.0061121655015009
DFM [A],2,2,-0.0030878548701798007
DFM [A],2,3,0.005510165017707
DFM [A],2,4,-0.0005595509545245998
DFM [A],2,5,0.0005144283906974995
DFM [A],2,6,0.00903761155204
DFM [A],2,7,-0.005896657680458099
DFM [A],2,8,-0.004382277408575001
DFM [A],2,9,0.0025890812891699007
DFM [A],2,10,-0.00021187875490500004
DFM [A],2,11,0.0020247835097232008
DFM [A],2,12,0.004152529756874501
DFM [A],2,13,0.0047426011797972005
DFM [A],2,14,0.0016755689836996006
DFM [A],2,15,0.0030819325436205994
DFM [A],2,16,0.0005964479425564001
DFM [A],2,17,0.0018668644204030008
DFM [A],2,18,0.0015442885460658006
DFM [A],2,19,0.0016052294878574
