,Mean,DFM [A],DFM [B],singleESN [A] [EW],singleESN [B] [EW],multiESN [A] [EW],multiESN [B] [EW]
0,0.011470073891844262,0.0082112477010612,0.0104197641693084,0.011360394100390966,0.011239386587215391,0.010875246206781916,0.00908553585861539
1,0.0015236927401401836,-0.0075086241290922996,-0.0037487995971889998,-0.00038094963365536017,-0.0001979090047304552,-0.00029951602533990086,-0.0025059522305997542
2,0.012492600638287357,0.009488412711287801,0.0081801978914447,0.011139778105277384,0.01130417177238782,0.011480772698337794,0.010031574488458064
3,0.029115966933875158,0.0206026949348144,0.0195781616888089,0.025836628649689244,0.023139139236616122,0.022712309629726438,0.016435340539681362
4,0.018385772476280354,0.0024645494820924006,-0.0018232455463686997,0.005373877395673723,0.0024045484856371636,0.004888767079887454,-0.0040294586499739025
5,0.008115107837433036,-0.0059604284316921,-0.0190959640861532,-0.0036583251075487464,-0.0036486691918165646,-0.004533012511618736,-0.013664160126855878
6,0.002704486909076081,-0.0040496886569876996,-0.0060793179507626,-0.0005244635456738041,0.0027684079250535737,-0.0022391186250772595,-0.0033837951169708694
7,-0.004339976256138111,-0.007259493153432101,-0.010157172564032601,-0.00962158147292638,-0.005801669669793779,-0.006734499576925984,-0.008455443599962361
8,0.0013491949382960135,-0.0023785420085871,-0.0018623387197451002,-0.0009457378365925187,0.0023635109889232446,0.0003340994639863355,0.00012379230996941316
9,-0.003309911798418369,-0.004028957298833199,-0.004924605688379199,-0.002599297135162681,0.0019823677212880905,-0.0008963806250878864,-0.0004906297122152271
10,-0.0013407304172078785,-0.0028880492968289,-0.0043845884888515,-0.002568233976133304,-0.0008819772850035814,-0.004558933489453392,-0.004113242770682125
11,0.001194630817780198,0.0006987066150383001,-0.0030290792245247,0.0012672790958318516,0.0035150944387004604,0.0015995095149666256,7.389226675869227e-05
12,0.008774975614745235,0.008458981664154399,0.0078498352737579,0.0078105880816038,0.007294317502799835,0.005820549607218154,0.009214899203574687
13,-0.0004979500278545629,-0.005883129168480701,-0.0038275223455227,-0.002364304627389664,-0.003354196203471601,-0.0011858943245966723,0.0003192633565959101
14,0.006653210136725897,0.0035785838412772998,0.0025236396993927,0.004441377400410578,0.006106217473024039,0.0051741522935083925,0.007476531507812255
15,-0.004965350566627285,-0.0089102399278452,-0.0082267740461184,-0.008965469125142102,-0.005458574085369862,-0.004402556900453719,-0.006817268476173616
16,-0.0019005457419318554,-0.002823576702799299,-0.003769677240734899,4.878620094063771e-05,0.002196154707243037,0.0034315291289019056,-0.00297876071364811
17,0.0017185276292484043,0.005047316130802199,5.701288396040005e-05,0.0042582871731824444,0.005218155013380211,0.005459529056637761,0.0007659323452182103
18,0.004500371445944512,0.0030692634255015004,0.0008243982421064001,0.003148328303993802,0.0030344958899796775,-1.3073905911082859e-05,0.0011968558052765275
19,0.005100441272497996,0.0040562868014679,0.0024764887603887,0.005001344407901051,0.0034169042556909373,0.0033412557047309607,0.0040552356513944565
20,-0.002497679376756496,-0.0028414564662482007,-0.003174402993826501,-0.000665836869959224,-0.0005438848543948757,-0.001637336934864452,-0.0016995298385884122
21,0.00477675466946661,0.006169066458715,0.0053729447872144995,0.006772630979830706,0.00448540311107179,0.0025223916379605426,0.0033885328967806286
22,-0.0017665429386052684,-0.0040952644105006,-0.0026326121306391994,-0.0016636026644400136,-0.0020374081057584663,-0.0019175042174473227,-0.0017960446367463086
23,-0.0009491260583610441,-0.00033150914379779985,-0.0022003278826844006,-0.00019372638809588005,-0.00041514602754334686,-0.00039932400598628997,-0.001797114420723468
24,0.00965454228572985,0.0120747777814648,0.0119804382380707,0.012055216616357228,0.011599290437381405,0.010149394660794805,0.009383619125600009
