M0,H,T,Loss
Mean,0,0,0.0001315625950843674
Mean,0,1,2.3216395663559013e-06
Mean,0,2,0.00015606507070773767
Mean,0,3,0.0008477395304945115
Mean,0,4,0.0003380366295495482
Mean,0,5,6.585497521316708e-05
Mean,0,6,7.314249441363896e-06
Mean,0,7,1.8835393903842576e-05
Mean,0,8,1.8203269815235838e-06
Mean,0,9,1.0955516113309123e-05
Mean,0,10,1.7975580516264121e-06
Mean,0,11,1.4271427907901848e-06
Mean,0,12,7.700019703937351e-05
Mean,0,13,2.4795423024035993e-07
Mean,0,14,4.426520512343223e-05
Mean,0,15,2.4654706249505904e-05
Mean,0,16,3.6120741171753067e-06
Mean,0,17,2.953337212490141e-06
Mean,0,18,2.0253343151472695e-05
Mean,0,19,2.6014501174200978e-05
Mean,0,20,6.2384022690747176e-06
Mean,0,21,2.2817385172271064e-05
Mean,0,22,3.1206739539361373e-06
Mean,0,23,9.008402746599721e-07
Mean,0,24,9.321018674694576e-05
Mean,0,25,4.5047835795128606e-05
Mean,0,26,2.9877421636410802e-05
Mean,0,27,2.861462623810881e-06
Mean,0,28,3.785694947881199e-06
Mean,0,29,1.5253675793672228e-07
Mean,0,30,8.652304847208272e-06
Mean,0,31,2.1903861848791952e-05
Mean,0,32,4.9248506112687405e-08
Mean,0,33,9.455570397997125e-06
Mean,0,34,5.2053626638830105e-09
Mean,0,35,1.227772638504085e-06
Mean,0,36,1.812156714899961e-06
Mean,0,37,2.1158468124483874e-07
Mean,0,38,1.2722104992878654e-06
Mean,0,39,1.096969705474365e-05
Mean,1,0,2.8251459220500395e-06
Mean,1,1,0.00015657995102265267
Mean,1,2,0.0008574668526520368
Mean,1,3,0.0003522707552660321
Mean,1,4,6.97873796123501e-05
Mean,1,5,7.887822523135329e-06
Mean,1,6,1.853941627719845e-05
Mean,1,7,1.6768831618934038e-06
Mean,1,8,1.0845528961251677e-05
Mean,1,9,1.90742393830775e-06
Mean,1,10,1.388809074843915e-06
Mean,1,11,7.724999111537847e-05
Mean,1,12,1.557999475048362e-07
Mean,1,13,4.4188192923931236e-05
Mean,1,14,2.3901117215214227e-05
Mean,1,15,3.8297322861489045e-06
Mean,1,16,2.88039681210946e-06
Mean,1,17,2.0425574709265903e-05
Mean,1,18,2.6521427819688776e-05
Mean,1,19,5.9645352295068815e-06
Mean,1,20,2.256153007918275e-05
Mean,1,21,2.943717078175909e-06
Mean,1,22,9.364844122600056e-07
Mean,1,23,9.301938079301859e-05
Mean,1,24,4.372167935220421e-05
Mean,1,25,3.0630820113172736e-05
Mean,1,26,2.6777181149752365e-06
Mean,1,27,3.7201551886093212e-06
Mean,1,28,1.3786021797210526e-07
Mean,1,29,8.67484545183033e-06
Mean,1,30,2.2171989760987648e-05
Mean,1,31,7.124711178509841e-08
Mean,1,32,9.468573001482388e-06
Mean,1,33,1.023284982394681e-08
Mean,1,34,1.2292673687081935e-06
Mean,1,35,1.8398844835856444e-06
Mean,1,36,2.2309891122026658e-07
Mean,1,37,1.2627947885216952e-06
Mean,1,38,1.103711096595965e-05
Mean,1,39,2.407423521696147e-06
Mean,2,0,0.00016053689184412136
Mean,2,1,0.0008586731573184812
Mean,2,2,0.00035855108919662066
Mean,2,3,7.633497558803622e-05
Mean,2,4,9.286055690042e-06
Mean,2,5,1.7654303062881456e-05
Mean,2,6,1.7667174695963463e-06
Mean,2,7,1.1205788211864483e-05
Mean,2,8,1.8616923318777878e-06
Mean,2,9,1.2953004296523283e-06
Mean,2,10,7.696630158169818e-05
Mean,2,11,1.4477509440217243e-07
Mean,2,12,4.557134329835649e-05
Mean,2,13,2.395776507512977e-05
Mean,2,14,3.536267088229152e-06
Mean,2,15,2.69205644242316e-06
Mean,2,16,2.0233009323063278e-05
Mean,2,17,2.6718464393629743e-05
Mean,2,18,5.72542085270414e-06
Mean,2,19,2.309126830652924e-05
Mean,2,20,3.036596094122236e-06
Mean,2,21,8.407142438305524e-07
Mean,2,22,9.266103819158919e-05
Mean,2,23,4.3852523902285256e-05
Mean,2,24,2.953901160454068e-05
Mean,2,25,2.4582666067669884e-06
Mean,2,26,3.936187549153591e-06
Mean,2,27,1.5070792243460862e-07
Mean,2,28,8.561738397440433e-06
Mean,2,29,2.220806389858405e-05
Mean,2,30,8.730819685276494e-08
Mean,2,31,9.747546796601094e-06
Mean,2,32,1.0664914673032821e-08
Mean,2,33,1.294435596418755e-06
Mean,2,34,1.84171416267155e-06
Mean,2,35,2.3289618488469524e-07
Mean,2,36,1.235190618407695e-06
Mean,2,37,1.1009343661846724e-05
Mean,2,38,2.4390595929867028e-06
Mean,2,39,5.091918858509251e-06
Mean,3,0,0.0008679063114853531
Mean,3,1,0.0003593312915563062
Mean,3,2,7.927332618287048e-05
Mean,3,3,1.1767697997779786e-05
Mean,3,4,1.570478354857664e-05
Mean,3,5,2.0541169618644835e-06
Mean,3,6,1.0977763145501606e-05
Mean,3,7,2.0126761259843377e-06
Mean,3,8,1.3334923414559819e-06
Mean,3,9,7.625968694704057e-05
Mean,3,10,1.5732852822125422e-07
Mean,3,11,4.5763558427724244e-05
Mean,3,12,2.2957820574836474e-05
Mean,3,13,3.5580772016976283e-06
Mean,3,14,2.948852854124483e-06
Mean,3,15,1.9728586182777805e-05
Mean,3,16,2.6498158536806783e-05
Mean,3,17,5.634406186250511e-06
Mean,3,18,2.3569006453627103e-05
Mean,3,19,2.84645348656833e-06
Mean,3,20,8.906857229089764e-07
Mean,3,21,9.364194665706389e-05
Mean,3,22,4.4099148969117524e-05
Mean,3,23,2.9646577716430857e-05
Mean,3,24,2.780280768980678e-06
Mean,3,25,4.2126338497361584e-06
Mean,3,26,1.1088821153941146e-07
