M0,H,T,Loss
Mean,7,9,0.00017326045817653984
Mean,7,10,0.0030969324928233374
Mean,7,11,0.00017831128738172042
Mean,7,12,0.0011979705355075147
Mean,7,13,0.001465609148244373
Mean,7,14,0.0005879499048318006
Mean,7,15,-0.0010243329269483403
Mean,7,16,-0.0032636261058110556
Mean,7,17,-0.0015052737510787683
Mean,7,18,-0.002239223735353562
Mean,7,19,0.001256683944150982
Mean,7,20,0.0038254406544808222
Mean,7,21,8.19168342089038e-05
Mean,7,22,-0.0018601315258671763
Mean,7,23,-0.0007835965425288813
AR(1),0,0,0.00025811243305071466
AR(1),0,1,0.0025121612003611363
AR(1),0,2,0.003685772356320672
AR(1),0,3,0.0030435375127370245
AR(1),0,4,-0.004840875998205147
AR(1),0,5,0.005831128875311245
AR(1),0,6,-0.003913092952653612
AR(1),0,7,-0.0002333178130443812
AR(1),0,8,0.010016579117868562
AR(1),0,9,-0.010925705869679815
AR(1),0,10,-0.00280460267268106
AR(1),0,11,0.0038774604375292343
AR(1),0,12,-0.002675455489680246
AR(1),0,13,0.0011259858384560905
AR(1),0,14,0.002738129561879466
AR(1),0,15,0.003451860277443134
AR(1),0,16,-0.001717085749261574
AR(1),0,17,0.002939789574476407
AR(1),0,18,-0.001211393673089728
AR(1),0,19,0.001033753423164873
AR(1),0,20,0.0008561610900608791
AR(1),0,21,-0.000125669693256664
AR(1),0,22,-0.0013570693778092082
AR(1),0,23,-0.002902842470761515
AR(1),1,0,0.0020289822795068763
AR(1),1,1,0.004078459099450719
AR(1),1,2,0.0041101205035550484
AR(1),1,3,-0.003627148096582244
AR(1),1,4,0.005204221386648418
AR(1),1,5,-0.0027815618124475954
AR(1),1,6,-0.0006809515346448674
AR(1),1,7,0.00976618586551858
AR(1),1,8,-0.008622258220944583
AR(1),1,9,-0.004412598238789913
AR(1),1,10,0.002559522277896649
AR(1),1,11,-0.0022944131700661195
AR(1),1,12,0.0006470776259840817
AR(1),1,13,0.0028117656570542594
AR(1),1,14,0.0041287795136001875
AR(1),1,15,-0.0006267526830333473
AR(1),1,16,0.002973832184142816
AR(1),1,17,-0.0005019476615114836
AR(1),1,18,0.0010326202458947218
AR(1),1,19,0.0011002573574103308
AR(1),1,20,0.00017498191378957466
AR(1),1,21,-0.0012659965806336116
AR(1),1,22,-0.0031874349227385005
AR(1),1,23,-0.0010341287717514124
AR(1),2,0,0.004252732370079075
AR(1),2,1,0.004585305579914359
AR(1),2,2,-0.0030819069041496602
AR(1),2,3,0.0049267576976127665
AR(1),2,4,-0.0022851794676874183
AR(1),2,5,-0.0008750880325192568
AR(1),2,6,0.00965756405392169
AR(1),2,7,-0.007628849112623165
AR(1),2,8,-0.005061955607722295
AR(1),2,9,0.002020919254908807
AR(1),2,10,-0.0021407533773905073
AR(1),2,11,0.0004545050828608744
AR(1),2,12,0.0028413341656182704
AR(1),2,13,0.004400780319279542
AR(1),2,14,-0.00018581776172556415
AR(1),2,15,0.002987529951912113
AR(1),2,16,-0.0002163698987590265
AR(1),2,17,0.0010321651662128194
AR(1),2,18,0.0011982900849708692
AR(1),2,19,0.00029580008661398306
AR(1),2,20,-0.0012294024621719553
AR(1),2,21,-0.003301742696370056
AR(1),2,22,-0.0013569118344801175
AR(1),2,23,-0.0021732553476825995
AR(1),3,0,0.0047970104905856095
AR(1),3,1,-0.0028369690086561183
AR(1),3,2,0.004803954732062807
AR(1),3,3,-0.002067425467435379
AR(1),3,4,-0.000959284057055072
AR(1),3,5,0.009610443383361053
AR(1),3,6,-0.0072004210313347475
AR(1),3,7,-0.005324185803796257
AR(1),3,8,0.0018008078526769193
AR(1),3,9,-0.002078788260473776
AR(1),3,10,0.0003770702354325556
AR(1),3,11,0.002853207373949383
AR(1),3,12,0.004510076132337296
AR(1),3,13,-7.501969193224843e-06
AR(1),3,14,0.0029930415399983443
AR(1),3,15,-0.00010141448672242731
AR(1),3,16,0.0010319824079433638
AR(1),3,17,0.0012376615009180069
AR(1),3,18,0.00034435140163284386
AR(1),3,19,-0.0012146985160155221
AR(1),3,20,-0.0033476549017775973
AR(1),3,21,-0.0014868255585582506
AR(1),3,22,-0.002234520528565106
AR(1),3,23,0.0013046322388545776
AR(1),4,0,-0.0027269359196645465
