,Mean,AR(1),MIDAS,DFM [A],DFM [B],singleESN [A],singleESN [B],multiESN [A],multiESN [B]
2,0.004498111750842044,0.003714104672384944,0.0018865503060514787,0.003591034210016,0.0013777845397584003,0.001864303930139824,0.0011755899168085092,0.0024400389879669316,0.0034131809598521587
3,0.005147636208669644,0.003115960239186713,0.006229279752371751,0.0060913059549756,0.0036684396580704,0.0056975857103675935,0.005845398280071077,0.006940995833209321,0.006013090887098334
4,-0.002395044861535957,-0.004716049368678435,0.0011959531014062268,-0.0008761536289416012,-0.0030524044914616005,-0.0007291119644740121,-0.0014515907132083838,-0.00027656457186082777,-0.0005743305259411306
5,0.0048525324171951436,0.0058913904337425365,0.006558313875814195,0.006747683369386,0.0053463630643736,0.005902470545208036,0.005610053978400037,0.006424890155285816,0.006204570367562085
6,-0.001639948651839856,-0.003829500143755357,-0.0006167555688219341,-0.0025793475872235997,-0.0038474201175781996,-0.00017592831642794255,-0.001209468816949064,-0.0003388306191363039,-0.0005153023608511073
7,-0.0008411269604230564,-0.00013862407186320327,0.0005394769204922194,4.725392414800002e-05,-0.0010605714951046003,0.0016306773812482358,0.0008378219523725297,0.0011151697022494774,0.0013832587888189729
8,0.009752654653893245,0.010099325042163024,0.011169169346932658,0.0111008398538078,0.010095196064556,0.011005195086636884,0.010363812601542543,0.010527329294908048,0.011040705303603906
9,-0.006514124723185056,-0.010886419580667855,0.001237145404120222,-0.0053444683558858,-0.006881770785484499,-0.0010949871386257415,-0.0020353845311851197,-0.00049772106113905,-0.0028019723977860504
10,-0.005336868000204157,-0.002463179380264538,-0.004011003132996198,-0.0030468585257147004,-0.0052144729552735004,-0.0023564315310332165,-0.0031687371559046065,-0.002628519574600627,-0.0025966555375400123
11,0.0017655297631130442,0.004114813240174514,0.0004916888591951834,0.003942047884065301,0.0018627475483066003,0.0032150393246592433,0.0023509915392686716,0.0033538021378806213,0.0035899969760247678
12,-0.0018548264504893554,-0.002669282743304931,-0.00029122084857634376,-0.0002636238573484988,-0.002185936097156199,0.0003327433311027094,-0.0010779296232178931,0.0003378167067363269,-0.000393036241576673
13,0.0004621551148414442,0.0012603746134681407,-0.0014215978586289988,0.00044727843046780003,-0.0006952406829367997,-0.0010522228107655322,-0.0017528028027859362,-0.0003268577092810669,-0.00023265906272057924
14,0.003016904628963244,0.0027830322948614156,0.002978323274349957,0.0048413880858464,0.0038913133749409004,0.00396029999755392,0.004060973082630842,0.003940452339190327,0.0037555507602656545
15,0.0047841388218071434,0.0034122617026668884,0.004913482995625891,0.004622444776725401,0.0044208721344609,0.004287646931724251,0.0034743296515711793,0.00520426950003674,0.0046804111296283694
16,0.00037090419011034416,-0.0017881815992432043,-0.0030580963533135045,0.0008794896075173001,0.0001072016499435004,0.0004923093649778472,-0.0009749712290176718,-0.00085670607734768,-0.00017817277126639785
17,0.0032260887915416436,0.0030328638823279145,0.001495911694237718,0.0040588285326525995,0.0032170555708992,0.0024151091053951335,0.002764219845389187,0.0043253286562340894,0.002465897669667818
18,0.00025225521944424387,-0.0012128022982644815,0.0013424404357593239,0.00029573767865950003,-0.0011979418675229997,0.0014774025050257608,0.0009373808961745658,0.0011156259475915377,0.0015017298534110235
19,0.0012888303258805443,0.0011484572111819117,-0.002281525051557446,0.0026167464995245004,0.0011382388375880004,5.718717825289356e-05,0.00037893746020576085,0.0005446579598947076,0.0005302543790710887
